Gaddiel Morales
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,25565


Experiment #:,0
Rule:,0112132424441
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.9728257205129514,2.103909910282364,0.999995,
1,5,,0.848,0.8461538461538461,1.9276099386772194,1.9500637564362102,0.82327,
2,3,,0.768,0.7692307692307692,1.9841733667912838,1.9500637564362098,0.50755,
3,2,,0.72,0.6923076923076923,1.9581119688278101,1.9500637564362098,0.370235,
4,12,,0.712,0.6153846153846154,1.9505885949927464,1.884313527799799,0.35892999999999997,
5,8,,0.5920000000000001,0.5384615384615384,1.86328236666043,1.7381493331928661,0.35246500000000003,
6,7,,0.44799999999999995,0.46153846153846156,1.7020396202259946,1.669180336866731,0.35180500000000003,
7,1,,0.42400000000000004,0.3846153846153846,1.6517106482714432,1.4885252948977485,0.0017899999999999583,
8,6,,0.272,0.3076923076923077,1.1135979330809889,1.1401156785146092,0.001495000000000024,
9,10,,0.22399999999999998,0.23076923076923073,0.9905793169651801,0.9912642605354287,0.001395000000000035,
10,9,,0.14400000000000002,0.15384615384615385,0.6882225728123752,0.7732283485249176,0.0012349999999999861,
11,11,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,0.0011750000000000371,
12,4,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,1
Rule:,0422213233411
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8300035310245861,2.199687794731328,1.0,
1,2,,0.944,0.8461538461538461,2.007122838665,2.295465679180292,0.999835,
2,6,,0.792,0.7692307692307692,2.1795919447322625,2.295465679180292,0.11878,
3,10,,0.744,0.6923076923076923,2.0674789061921484,2.199687794731328,0.12576500000000002,
4,4,,0.624,0.6153846153846154,2.0487410710379748,2.1339375660949167,0.059085000000000054,
5,1,,0.6,0.5384615384615384,1.9177631033761844,1.8339272176418302,0.017545000000000033,
6,7,,0.45599999999999996,0.46153846153846156,1.674819048595804,1.6691803368667308,0.0019449999999999745,
7,5,,0.31200000000000006,0.3846153846153846,1.2859886478811098,1.5465935642949382,0.0017099999999999893,
8,8,,0.19199999999999995,0.3076923076923077,0.9904409114166589,1.3520301017579528,0.0013999999999999568,
9,9,,0.11199999999999999,0.23076923076923073,0.602588747752204,0.9912642605354288,0.0011299999999999644,
10,11,,0.08799999999999997,0.15384615384615385,0.46843434415285357,0.7732283485249176,0.0011050000000000226,
11,12,,0.07999999999999996,0.07692307692307687,0.4021791902022728,0.39124356362925566,0.0010900000000000354,
12,3,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,2
Rule:,0141411222311
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.7510502810485,1.9877733714879842,0.99998,
1,7,,0.848,0.8461538461538461,2.0432291366676516,2.045841640885174,0.999615,
2,9,,0.768,0.7692307692307692,2.0218068943234027,1.9877733714879842,0.92591,
3,4,,0.648,0.6923076923076923,1.8409696824248871,1.8919954870390203,0.934205,
4,3,,0.5680000000000001,0.6153846153846154,1.8409696824248871,1.914341183612352,0.61731,
5,12,,0.56,0.5384615384615384,1.838367663551462,1.8919954870390203,0.577635,
6,2,,0.512,0.46153846153846156,1.6120443168062393,1.573402452417767,0.353325,
7,11,,0.488,0.3846153846153846,1.5978622227904935,1.4885252948977485,0.35028499999999996,
8,5,,0.344,0.3076923076923077,1.417465133244822,1.3520301017579528,0.35377000000000003,
9,6,,0.19199999999999995,0.23076923076923073,0.9550052350736914,1.1451104143815827,0.337885,
10,8,,0.07199999999999995,0.15384615384615385,0.43946062113177686,0.7732283485249176,0.335955,
11,10,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.33592,
12,1,,0.0,0.0,-0.0,-0.0,0.0010000000000000009,


Experiment #:,3
Rule:,0343314323411
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.8817617582511486,2.075869296697727,0.999995,
1,2,,0.944,0.8461538461538461,2.024419329636923,2.133937566094917,0.999905,
2,1,,0.92,0.7692307692307692,2.0889336900281696,2.1996877947313282,0.99982,
3,3,,0.84,0.6923076923076923,2.225182639554456,2.199687794731328,0.93026,
4,5,,0.696,0.6153846153846154,2.042181135529748,2.133937566094917,0.66518,
5,7,,0.552,0.5384615384615384,1.9737199321973682,2.045841640885174,0.11131500000000005,
6,4,,0.43200000000000005,0.46153846153846156,1.7453755637644714,1.8810947601100747,0.0024049999999999905,
